,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0395,G. LUX PASTO,0395-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,69962153,COCINA,14425,PLAN MTTO LUBRIC COCINA 2 69962153,13088511,Lubricacion de balineras,PM02,ABIE,2023-10-07 05:00:00,,medio,,"0,5"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",540005,EMPACADORA,45140,PLAN MTTO LUBRI. EMPACADORA H&K 540005,13123920,lubricacion sistema neumatico,PM02,ABIE,2023-10-02 05:00:00,,medio,,"0,2"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",599571,INSPECTOR ELECTRONICO BOTELLAS VACIAS,45366,PLAN MTTO ELEC. INSP. ELECT. 599571,13123972,Mantto sensor de espacio botella en entr,PM02,ABIE,2023-10-03 05:00:00,,medio,,"0,3"
0395,G. LUX PASTO,0395-AGUAS RESIDUALES  GASEOSA,TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,710082,PLANTA AGUAS RESIDUALES AZUCARADAS,14459,PLAN MTTO MEC. AG. RESI AZUC. 7100282,13113336,mtto de manometros  lineas,PM02,ABIE,2023-10-04 05:00:00,,medio,,"0,5"
0395,G. LUX PASTO,0395-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,45464,PLAN MTTO ELECTRICO CALDERA 659364,13120093,Mtto sistema de ignicion,PM02,ABIE,2023-10-07 05:00:00,,,,"0,5"
0395,G. LUX PASTO,0395-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,69963209,TINA,46613,PLAN MTTO MEC TINA 3 JAR TER 69963209,13084652,Mtto y corregir fugas de agua y producto,PM02,ABIE,2023-10-07 05:00:00,,medio,,"1,0"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",558083,DESEMPACADORA,45144,PLAN MTTO ELECT. DESEMPACADORA 558083,13113374,Mantto Tablero de pulsadores,PM02,ABIE,2023-10-04 05:00:00,,bajo,,"0,5"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",518580,LLENADORA,45058,PLAN MANTTO ELEC. LLENA. BOTELLAS 518580,13123911,Mantto variador de velosidad,PM02,ABIE,2023-10-04 05:00:00,,medio,,"1,0"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",518580,LLENADORA,45058,PLAN MANTTO ELEC. LLENA. BOTELLAS 518580,13123911,mantto freno de llenadora,PM02,ABIE,2023-10-04 05:00:00,,medio,,"1,0"
0395,G. LUX PASTO,0395-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,69963210,TINA,46616,PLAN MTTO MEC. TINA 4 JAR. TER. 69963210,13084660,Mtto y corregir fugas de agua y producto,PM02,ABIE,2023-10-07 05:00:00,,medio,,"1,0"
0395,G. LUX PASTO,0395-AGUAS RESIDUALES  GASEOSA,TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,710082,PLANTA AGUAS RESIDUALES AZUCARADAS,14459,PLAN MTTO MEC. AG. RESI AZUC. 7100282,13113336,mtto del PH Metro,PM02,ABIE,2023-10-04 05:00:00,,medio,,"1,0"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",518580,LLENADORA,45058,PLAN MANTTO ELEC. LLENA. BOTELLAS 518580,13123911,Mantto sensores tapa corona,PM02,ABIE,2023-10-04 05:00:00,,medio,,"0,5"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",518580,LLENADORA,45058,PLAN MANTTO ELEC. LLENA. BOTELLAS 518580,13123911,Mantt electrovalvulas,PM02,ABIE,2023-10-04 05:00:00,,medio,,"0,5"
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",518580,LLENADORA,45058,PLAN MANTTO ELEC. LLENA. BOTELLAS 518580,13123911,mantto sist. elec. semillenado,PM02,ABIE,2023-10-04 05:00:00,,medio,,"0,5"
