,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración,
0393,G. LUX VILLAVICENCIO,0393-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,699619,SALA DE JARABES,14442,CALIBRACION CONTROL TEMP SALA DE JARABES,13095921,CALIBRACION CONTROL DE TEMPERATURA,PM02,LIB.,2023-12-15 05:00:00,,alto,,0,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",520002,CARBO ENFRIADOR,14660,INSPECCION SEMANAL CARBO UBE,13160425,SERV INSTALACION TUBERIA DRENAJE CARBO,PM02,LIB.,2023-12-04 05:00:00,,Muy elevado/Urgente,,0,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,MANTENIMIENTO SISTEMA DE LLENADO,13180088,SERV RECORET ACRILICO 5M DE 37CM*37CM,PM02,LIB.,2023-12-15 05:00:00,,alto,,0,
0393,G. LUX VILLAVICENCIO,0393-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,679332,PLANTA ELECTRICA N 1,54894,PLAN MTTO PLANTA ELECTRICA #1,13187500,SERV REPARACION TUBERIA ACPM PLANTA,PM02,LIB.,2023-12-15 05:00:00,,,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,MANTENIMIENTO SISTEMA DE LLENADO,13180088,CAMBIO TUBOS DE LLENADO,PM02,LIB.,2023-12-15 05:00:00,,alto,,1,
0393,G. LUX VILLAVICENCIO,0393-AGUAS RESIDUALES  GASEOSA,TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,710206,PLANTA AGUAS RESIDUALES AZUCARADAS,14674,INSPECCION PTAR,13180090,SERV FABRICACION TANQUE DE CARGA INOX,PM02,LIB.,2023-12-09 05:00:00,,alto,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",520002,CARBO ENFRIADOR,14660,INSPECCION SEMANAL CARBO UBE,13160425,cambio empaques vasos flomix,PM02,LIB.,2023-12-04 05:00:00,,Muy elevado/Urgente,,1,
0393,G. LUX VILLAVICENCIO,0393-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,629047,COMPRESOR REFRIGERACION,18585,Plan Mtto Compresor refrogeracion 1,13149422,Limpieza general de carter,PM02,LIB.,2023-12-07 05:00:00,,alto,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,710131,GENERADOR DE OZONO,17106,PLAN MANTENIMIENTO GENERADOR OZONO,13180093,cCAMBIO CABLE ALTO VOLTAJE GENERADOR,PM02,LIB.,2023-12-14 05:00:00,,alto,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,710127,LAVADORA DE BOTELLONES,17105,PLAN MANTENIMIENTO LAVADORA BOTELLONES,13180092,SERV PROGRAMACION PANEL LAVADORA BOTELLO,PM02,LIB.,2023-12-09 05:00:00,,alto,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",520002,CARBO ENFRIADOR,14660,INSPECCION SEMANAL CARBO UBE,13190664,SERV INSTALACION TUBERIA REFLUJO CO2 CAR,PM02,LIB.,2023-12-18 05:00:00,,Muy elevado/Urgente,,1,
0393,G. LUX VILLAVICENCIO,0393-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,699619,SALA DE JARABES,14901,MTTO PREVENTIVO SALA JARABES,13180091,SERV PROGRAMACION HMI SALA DE JARABES,PM02,LIB.,2023-12-09 05:00:00,,alto,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",520002,CARBO ENFRIADOR,14660,INSPECCION SEMANAL CARBO UBE,13190664,SERV SOLDAR TUBERIA AGUA CARBO,PM02,LIB.,2023-12-18 05:00:00,,Muy elevado/Urgente,,1,
0393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,PLAN Lubricacion  general llenadora,13180083,LUBRICACION PISTONES CORONADORES,PM02,LIB.,2023-12-04 05:00:00,,alto,,2,
