,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0198,POSTOBÓN PEREIRA,0198-LINEA DE PRODUCCION 6 PET,0198-LINEA DE PRODUCCION 6 PET,519560,LLENADORA,0,CAMBIO DE RODAMIENTOS TAZON LLENADO L6,13151605,CAMBIO DE RODAMIENTOS TAZON LLENADO L6,PM01,LIB.,2023-11-01 05:00:00,,Muy elevado/Urgente,,1
0198,POSTOBÓN PEREIRA,0198-ENVASADO TETRAPACK L4,LINEA DE ENVASADO DE TETRAPAK  LINEA 4,519559,LLENADORA LITRO,0,CMABIO DE SENSOR INDUCTIVO A3-FLEX L4,13151616,CMABIO DE SENSOR INDUCTIVO A3-FLEX L4,PM01,LIB.,2023-11-01 05:00:00,,alto,,1
0198,POSTOBÓN PEREIRA,0198-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900045,SISTEMA D (MEZCLA JUGO),44540,PLAN MTTO ELECTRI SIST D PREPA L5 900045,13119796,MTTO MOTORES ELECTRICOS,PM02,ABIE,2023-11-08 05:00:00,,medio/Moderado,,8
0198,POSTOBÓN PEREIRA,0198-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900043,SISTEMA B (RECONSTITUCION JUGO),44543,PLAN MTTO MECA SIST B PREPARA L5 900043,13126243,"MTTO TUBERIAS, BOMBAS Y VALVULAS",PM02,ABIE,2023-11-09 05:00:00,,medio/Moderado,,8
0198,POSTOBÓN PEREIRA,0198-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900046,SISTEMA E-J (PASTERIZADOR JUGO/AVENA),44538,PLAN MTTO ELECTR SIST E-J PAST L5 900046,13069490,MTTO SIST CONTROL Y POTENCIA,PM02,LIB.,2023-11-12 05:00:00,,medio/Moderado,,4
0198,POSTOBÓN PEREIRA,0198-ENVASADO JUGOS HIT VIDRIO,EQUIPOS PARA  ENVASADO JUGOS HIT,568237,LAVADORA DE CAJAS,44485,PLAN MTTO LUBRI LAVADORA CAJAS L5 568237,13111941,LUBRICACION GENERAL,PM02,ABIE,2023-11-03 05:00:00,,,,1
0198,POSTOBÓN PEREIRA,0198-LINEA DE PRODUCCION 6 PET,0198-LINEA DE PRODUCCION 6 PET,51955702,ESTIRILIZADOR DE TAPAS (VOLTEADOR),38473,PLAN MTTO ELÉCTRICO VOLTEADORL6 51955702,13106657,MTTO Y LIMPIEZA TABLERO ELECTRICO,PM02,ABIE,2023-11-03 05:00:00,,alto,,2
0198,POSTOBÓN PEREIRA,0198-LINEA DE PRODUCCION 6 PET,0198-LINEA DE PRODUCCION 6 PET,659650,TANQUE DE PREPARACIÓN 2,38453,PLAN MTTO ELÉCTRICO TANQUE #2 L6  659650,13106656,MTTO Y LIMPIEZA MOTOR AGITADOR,PM02,ABIE,2023-11-03 05:00:00,,medio/Moderado,,1
0198,POSTOBÓN PEREIRA,0198-ENVASADO TETRAPACK L4,LINEA DE ENVASADO DE TETRAPAK  LINEA 4,900177,SISTEMA DE TRANSPORTE,44450,PLAN MTTO ELÉCTRICO TRANSP. L4 900177,13106669,MTTO SIST. DE CONTROL Y POTENCIA,PM02,ABIE,2023-11-02 05:00:00,,Muy elevado/Urgente,,3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
