,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0079,POSTOBÓN BELLO,0079-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,710130,LAVADORA DE BOTELLONES,0,EHR FALLO DE MANGUERA DE LAVADO BOTELLO,13187177,"EHR SERV REPARACION MANGUERA 1.5"" LAVAD",PM02,LIB.,2024-01-05 05:00:00,,,,0
0079,POSTOBÓN BELLO,0079-LINEA GARRAFAS,LINEA PARA LLENADO DE GARRAFAS,718369,LLENADORA DE GARRAFAS,46779,PLAN MTTO MEC LLENAD GARRAFAS L8 718369,13203449,DIAGNOS GRAL LINEA GARRAF  VIER 5 ENE 24,PM02,LIB.,2024-01-04 05:00:00,,,,0
0079,POSTOBÓN BELLO,0079-LINEA 2,LINEA DE ENVASADO 12 ONZ,518593,LLENADORA,0,MTTO M SRM CILINDRO DESAIREADOR LLENADOR,13217329,0,PM02,LIB.,2024-01-06 05:00:00,,Muy elevado/Urgente,,0
0079,POSTOBÓN BELLO,0079-LINEA 2,LINEA DE ENVASADO 12 ONZ,518593,LLENADORA,0,MTTO M SRM CILINDRO DESAIREADOR LLENADOR,13217329,0,PM02,LIB.,2024-01-06 05:00:00,,Muy elevado/Urgente,,0
0079,POSTOBÓN BELLO,0079-PLANTA DE AGUAS A CRISTAL,TRATAMIENTO DE AGUA PARA AGUA CRISTAL,900244,MODULO CIP,47207,PLAN MTTO ELEC MODUL CIP PTAP AGC 900244,12989429,SV_JG_MTTO CLIMATIZADORES,PM02,LIB. OTES,2024-01-05 05:00:00,,,,0.1
0079,POSTOBÓN BELLO,0079-PLANTA DE AGUAS A CRISTAL,TRATAMIENTO DE AGUA PARA AGUA CRISTAL,900244,MODULO CIP,47207,PLAN MTTO ELEC MODUL CIP PTAP AGC 900244,12989429,SV_JG_MTTO EXTRACTORES,PM02,LIB. OTES,2024-01-05 05:00:00,,,,0.1
0079,POSTOBÓN BELLO,0079-PLANTA DE AGUAS A CRISTAL,TRATAMIENTO DE AGUA PARA AGUA CRISTAL,900244,MODULO CIP,47207,PLAN MTTO ELEC MODUL CIP PTAP AGC 900244,12989429,SV_JG MTTO CLIMATIZADORES,PM02,LIB. OTES,2024-01-05 05:00:00,,,,0.1
0079,POSTOBÓN BELLO,0079-PLANTA DE AGUAS A CRISTAL,TRATAMIENTO DE AGUA PARA AGUA CRISTAL,900244,MODULO CIP,47207,PLAN MTTO ELEC MODUL CIP PTAP AGC 900244,12989429,SV_JG MTTO EXTRACTORES,PM02,LIB. OTES,2024-01-05 05:00:00,,,,0.1
79,POSTOBÓN BELLO,"=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,2,FALSE)","=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,3,FALSE)","=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,4,FALSE)","=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,5,FALSE)","=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,6,FALSE)","=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,7,FALSE)",13047847,MTTO ACCIONAMIENTOS MOTORREDUCTORES (8),"=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,10,FALSE)","=VLOOKUP(I13,'[1]banco de actividades APP'!$B$3:$O$400,11,FALSE)",,Garcia Jesus,,,0.5
79,POSTOBÓN BELLO,"=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,2,FALSE)","=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,3,FALSE)","=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,4,FALSE)","=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,5,FALSE)","=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,6,FALSE)","=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,7,FALSE)",13047847,MTTO SIST ELECTRICO VARIADORES (9),"=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,10,FALSE)","=VLOOKUP(I14,'[1]banco de actividades APP'!$B$3:$O$400,11,FALSE)",,Garcia Jesus,,,0.5
