,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración,
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Verificar alimentación eléctrica,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Verificar estado del contador,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar estado de tablero eléctrico,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar conexiones eléctricas,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Verificar señales de sensores,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar presiones de aire,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar sistema neumático,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar cilindros de dosificación,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar sistema de sellado ,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Revisar sistema de arrastre,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Lubricación,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
111,POSTOBÓN MALAMBO,0111-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,25838,Inspeccion semanal -LLenadora Bib,13179030,Inspección semanal llenodora bib,Verificar estado de empaques,PM02,LIB.,2023-12-11 05:00:00,0,alto,0.02173913043478261,710410-1
